OUT_ID,STO_NM,SHIP_YM,SERVICE_TYPE,ORDER_CNT,BOX_TOT,WEIGHT_KG
OUT0001452,Sample Manufacturing 0101,2025-04,Standard,17,202.406,1104.37
OUT0001453,Sample Manufacturing 0101,2025-05,Standard,12,87.751,792.9
OUT0001454,Sample Manufacturing 0101,2025-06,Cold Chain,22,267.476,2170.27
OUT0001455,Sample E-commerce 0102,2024-02,Standard,28,208.695,1823.34
OUT0001456,Sample E-commerce 0102,2024-03,Cold Chain,27,412.856,2724.05
OUT0001457,Sample E-commerce 0102,2024-04,Standard,27,391.826,2761.65
OUT0001458,Sample E-commerce 0102,2024-05,Cold Chain,26,355.435,2835.3
OUT0001459,Sample E-commerce 0102,2024-06,Standard,18,167.594,1378.42
OUT0001460,Sample E-commerce 0102,2024-07,Standard,35,413.847,2343.71
OUT0001461,Sample E-commerce 0102,2024-08,Standard,17,119.563,878.82
OUT0001462,Sample E-commerce 0102,2024-09,Standard,25,254.362,1587.5
OUT0001463,Sample E-commerce 0102,2024-11,Cold Chain,29,236.493,1707.22
OUT0001464,Sample E-commerce 0102,2024-12,Standard,23,263.98,2006.54
OUT0001465,Sample E-commerce 0102,2025-01,Standard,35,459.419,2339.37
OUT0001466,Sample E-commerce 0102,2025-03,Priority,36,337.214,2150.34
OUT0001467,Sample FoodService 0103,2024-01,Standard,18,274.015,1009.0
OUT0001468,Sample FoodService 0103,2024-02,Standard,9,128.717,1199.78
OUT0001469,Sample FoodService 0103,2024-03,Cold Chain,6,80.055,736.69
OUT0001470,Sample FoodService 0103,2024-05,Standard,8,61.845,428.82
OUT0001471,Sample FoodService 0103,2024-06,Standard,12,110.112,401.38
OUT0001472,Sample FoodService 0103,2024-07,Cold Chain,14,208.81,888.27
OUT0001473,Sample FoodService 0103,2024-08,Standard,14,150.908,517.73
OUT0001474,Sample FoodService 0103,2024-09,Standard,14,127.246,591.61
OUT0001475,Sample FoodService 0103,2024-10,Standard,15,118.078,688.44
OUT0001476,Sample FoodService 0103,2024-12,Priority,17,239.791,1572.92
OUT0001477,Sample FoodService 0103,2025-02,Standard,10,124.414,1089.53
OUT0001478,Sample Manufacturing 0104,2024-01,Cold Chain,30,335.481,2571.57
OUT0001479,Sample Manufacturing 0104,2024-02,Standard,35,517.837,4574.34
OUT0001480,Sample Manufacturing 0104,2024-03,Standard,19,228.974,1522.15
OUT0001481,Sample Manufacturing 0104,2024-04,Standard,22,196.998,1174.02
OUT0001482,Sample Manufacturing 0104,2024-05,Standard,21,213.125,1317.29
OUT0001483,Sample Manufacturing 0104,2024-06,Cold Chain,48,477.782,1879.17
OUT0001484,Sample Manufacturing 0104,2024-07,Standard,66,630.446,4554.23
OUT0001485,Sample Manufacturing 0104,2024-08,Standard,33,362.779,2228.19
OUT0001486,Sample Manufacturing 0104,2024-09,Standard,38,384.912,3433.02
OUT0001487,Sample Manufacturing 0104,2024-10,Standard,20,236.695,1069.23
OUT0001488,Sample Manufacturing 0104,2024-11,Standard,63,449.178,4290.77
OUT0001489,Sample Manufacturing 0104,2024-12,Standard,63,902.257,6347.56
OUT0001490,Sample Manufacturing 0104,2025-01,Cold Chain,22,215.097,1159.36
OUT0001491,Sample Manufacturing 0104,2025-02,Standard,26,219.916,1599.24
OUT0001492,Sample Manufacturing 0104,2025-04,Standard,15,217.422,1859.62
OUT0001493,Sample Manufacturing 0104,2025-05,Standard,35,311.257,1639.61
OUT0001494,Sample Manufacturing 0104,2025-06,Standard,18,155.355,982.1
OUT0001495,Sample FoodService 0105,2024-01,Standard,5,54.797,250.14
OUT0001496,Sample FoodService 0105,2024-02,Standard,12,91.476,578.86
OUT0001497,Sample FoodService 0105,2024-03,Standard,11,130.055,751.27
OUT0001498,Sample FoodService 0105,2024-04,Standard,12,116.794,1028.24
OUT0001499,Sample FoodService 0105,2024-05,Standard,15,126.418,668.51
OUT0001500,Sample FoodService 0105,2024-06,Cold Chain,23,172.632,980.11
OUT0001501,Sample FoodService 0105,2024-07,Standard,19,273.197,1167.13
OUT0001502,Sample FoodService 0105,2024-08,Standard,21,149.435,1090.4
OUT0001503,Sample FoodService 0105,2024-09,Standard,21,256.937,2099.43
OUT0001504,Sample FoodService 0105,2024-10,Standard,17,261.483,1753.06
OUT0001505,Sample FoodService 0105,2024-12,Standard,19,247.955,1218.13
OUT0001506,Sample FoodService 0105,2025-01,Standard,15,226.046,753.78
OUT0001507,Sample FoodService 0105,2025-02,Cold Chain,14,110.417,979.59
OUT0001508,Sample FoodService 0105,2025-03,Standard,15,197.912,1488.12
OUT0001509,Sample FoodService 0105,2025-04,Priority,21,279.305,2130.62
OUT0001510,Sample FoodService 0105,2025-05,Standard,23,288.261,2007.98
OUT0001511,Sample FoodService 0105,2025-06,Standard,20,165.737,1175.08
OUT0001512,Sample FoodService 0106,2024-02,Priority,16,175.517,1357.58
OUT0001513,Sample FoodService 0106,2024-04,Standard,14,115.394,809.21
OUT0001514,Sample FoodService 0106,2024-05,Cold Chain,9,131.1,1068.45
OUT0001515,Sample FoodService 0106,2024-06,Standard,10,110.914,625.03
OUT0001516,Sample FoodService 0106,2024-07,Cold Chain,13,150.689,602.63
OUT0001517,Sample FoodService 0106,2024-08,Standard,18,240.463,1684.62
OUT0001518,Sample FoodService 0106,2024-09,Standard,19,243.72,978.08
OUT0001519,Sample FoodService 0106,2024-10,Standard,11,86.173,472.14
OUT0001520,Sample FoodService 0106,2024-11,Standard,20,308.932,1006.93
OUT0001521,Sample FoodService 0106,2024-12,Standard,15,175.953,1713.06
OUT0001522,Sample FoodService 0106,2025-01,Standard,36,529.312,1776.19
OUT0001523,Sample FoodService 0106,2025-02,Standard,12,155.133,1262.37
OUT0001524,Sample FoodService 0106,2025-03,Standard,10,79.508,427.43
OUT0001525,Sample FoodService 0106,2025-04,Standard,13,192.953,1675.61
OUT0001526,Sample FoodService 0106,2025-05,Standard,10,125.271,958.38
OUT0001527,Sample Convenience 0107,2024-01,Cold Chain,5,48.154,248.8
OUT0001528,Sample Convenience 0107,2024-02,Standard,7,74.51,700.1
OUT0001529,Sample Convenience 0107,2024-03,Standard,4,57.678,555.85
OUT0001530,Sample Convenience 0107,2024-04,Standard,4,48.799,164.64
OUT0001531,Sample Convenience 0107,2024-05,Standard,4,42.36,162.89
OUT0001532,Sample Convenience 0107,2024-06,Standard,2,20.196,167.51
OUT0001533,Sample Convenience 0107,2024-07,Standard,5,54.087,357.1
OUT0001534,Sample Convenience 0107,2024-09,Priority,2,15.854,95.93
OUT0001535,Sample Convenience 0107,2024-10,Standard,4,45.235,146.56
OUT0001536,Sample Convenience 0107,2024-11,Standard,4,34.174,246.23
OUT0001537,Sample Convenience 0107,2024-12,Standard,4,41.284,179.8
OUT0001538,Sample Convenience 0107,2025-01,Standard,4,50.063,464.35
OUT0001539,Sample Convenience 0107,2025-02,Standard,2,26.961,260.23
OUT0001540,Sample Convenience 0107,2025-03,Standard,3,27.234,92.31
OUT0001541,Sample Convenience 0107,2025-04,Priority,4,31.636,267.37
OUT0001542,Sample Convenience 0107,2025-05,Standard,3,23.416,135.64
OUT0001543,Sample Convenience 0107,2025-06,Standard,4,43.712,428.34
OUT0001544,Sample Manufacturing 0108,2024-01,Standard,14,112.844,885.7
OUT0001545,Sample Manufacturing 0108,2024-02,Standard,9,80.704,731.74
OUT0001546,Sample Manufacturing 0108,2024-04,Standard,14,213.601,1587.07
OUT0001547,Sample Manufacturing 0108,2024-05,Priority,8,98.194,678.46
OUT0001548,Sample Manufacturing 0108,2024-06,Standard,12,164.48,1260.19
OUT0001549,Sample Manufacturing 0108,2024-07,Standard,14,211.583,1024.16
OUT0001550,Sample Manufacturing 0108,2024-10,Standard,15,131.578,466.32
OUT0001551,Sample Manufacturing 0108,2024-11,Standard,28,254.483,1957.67
OUT0001552,Sample Manufacturing 0108,2024-12,Standard,16,145.488,1122.44
OUT0001553,Sample Manufacturing 0108,2025-01,Standard,11,118.086,1112.02
OUT0001554,Sample Manufacturing 0108,2025-02,Standard,18,214.388,1721.23
OUT0001555,Sample Manufacturing 0108,2025-03,Cold Chain,7,87.381,723.81
OUT0001556,Sample Manufacturing 0108,2025-05,Standard,18,237.626,1499.52
OUT0001557,Sample Manufacturing 0108,2025-06,Standard,9,93.092,713.97
OUT0001558,Sample FoodService 0109,2024-01,Priority,11,151.992,691.71
OUT0001559,Sample FoodService 0109,2024-02,Priority,10,132.404,1261.91
OUT0001560,Sample FoodService 0109,2024-03,Standard,11,117.405,1097.33
OUT0001561,Sample FoodService 0109,2024-04,Cold Chain,15,124.363,1047.38
OUT0001562,Sample FoodService 0109,2024-05,Priority,11,121.598,874.33
OUT0001563,Sample FoodService 0109,2024-06,Standard,10,151.304,680.73
OUT0001564,Sample FoodService 0109,2024-07,Priority,11,108.299,657.78
OUT0001565,Sample FoodService 0109,2024-10,Standard,7,83.578,423.22
OUT0001566,Sample FoodService 0109,2024-11,Standard,7,87.643,535.84
OUT0001567,Sample FoodService 0109,2024-12,Standard,7,79.489,511.24
OUT0001568,Sample FoodService 0109,2025-01,Priority,6,77.999,580.15
OUT0001569,Sample FoodService 0109,2025-02,Standard,10,116.284,758.43
OUT0001570,Sample FoodService 0109,2025-03,Standard,12,94.671,708.82
OUT0001571,Sample FoodService 0109,2025-04,Standard,14,163.526,1058.22
OUT0001572,Sample FoodService 0109,2025-05,Standard,20,158.712,1415.13
OUT0001573,Sample Retail 0110,2024-01,Standard,14,103.466,811.65
OUT0001574,Sample Retail 0110,2024-02,Standard,20,214.106,1549.13
OUT0001575,Sample Retail 0110,2024-03,Standard,9,86.388,338.72
OUT0001576,Sample Retail 0110,2024-05,Standard,10,113.697,503.34
OUT0001577,Sample Retail 0110,2024-07,Priority,13,160.045,1284.42
OUT0001578,Sample Retail 0110,2024-09,Standard,16,159.269,988.91
OUT0001579,Sample Retail 0110,2024-10,Cold Chain,22,251.384,1584.57
OUT0001580,Sample Retail 0110,2024-11,Standard,22,323.906,2265.44
OUT0001581,Sample Retail 0110,2024-12,Standard,12,122.451,1027.85
OUT0001582,Sample Retail 0110,2025-01,Cold Chain,23,337.04,1735.42
OUT0001583,Sample Retail 0110,2025-02,Standard,24,371.183,2521.37
OUT0001584,Sample Retail 0110,2025-03,Standard,18,252.376,2304.1
OUT0001585,Sample Retail 0110,2025-04,Cold Chain,8,98.178,333.99
OUT0001586,Sample Retail 0110,2025-05,Standard,29,232.689,1475.32
OUT0001587,Sample Retail 0110,2025-06,Standard,25,342.026,2033.55
OUT0001588,Sample Manufacturing 0111,2024-01,Standard,13,189.484,854.9
OUT0001589,Sample Manufacturing 0111,2024-03,Standard,6,80.176,557.68
OUT0001590,Sample Manufacturing 0111,2024-06,Standard,12,124.04,739.4
OUT0001591,Sample Manufacturing 0111,2024-08,Standard,16,219.531,1838.98
OUT0001592,Sample Manufacturing 0111,2024-09,Standard,20,257.446,2403.85
OUT0001593,Sample Manufacturing 0111,2024-11,Standard,6,51.162,319.64
OUT0001594,Sample Manufacturing 0111,2024-12,Standard,17,173.58,854.65
OUT0001595,Sample Manufacturing 0111,2025-01,Priority,22,246.113,2035.27
OUT0001596,Sample Manufacturing 0111,2025-02,Standard,10,97.411,788.05
OUT0001597,Sample Manufacturing 0111,2025-03,Standard,12,181.501,1712.36
OUT0001598,Sample Manufacturing 0111,2025-05,Standard,18,246.261,1114.37
OUT0001599,Sample E-commerce 0112,2024-01,Standard,7,65.687,514.84
OUT0001600,Sample E-commerce 0112,2024-02,Priority,13,138.434,671.83
OUT0001601,Sample E-commerce 0112,2024-03,Standard,6,87.71,572.55
OUT0001602,Sample E-commerce 0112,2024-04,Standard,23,257.107,1844.3
OUT0001603,Sample E-commerce 0112,2024-05,Standard,12,90.271,301.58
OUT0001604,Sample E-commerce 0112,2024-08,Standard,15,199.887,763.89
OUT0001605,Sample E-commerce 0112,2024-11,Standard,16,133.175,732.58
OUT0001606,Sample E-commerce 0112,2024-12,Standard,24,257.852,1290.72
OUT0001607,Sample E-commerce 0112,2025-01,Standard,10,137.606,649.18
OUT0001608,Sample E-commerce 0112,2025-02,Standard,11,144.335,640.22
OUT0001609,Sample E-commerce 0112,2025-03,Standard,15,155.98,1265.9
OUT0001610,Sample E-commerce 0112,2025-04,Standard,5,52.178,488.96
OUT0001611,Sample E-commerce 0112,2025-05,Standard,9,111.132,516.74
OUT0001612,Sample E-commerce 0112,2025-06,Cold Chain,12,132.59,893.32
OUT0001613,Sample Pharma 0113,2024-01,Standard,9,106.138,883.33
OUT0001614,Sample Pharma 0113,2024-02,Priority,4,34.313,193.88
OUT0001615,Sample Pharma 0113,2024-03,Standard,7,98.317,829.6
OUT0001616,Sample Pharma 0113,2024-04,Cold Chain,8,96.437,318.78
OUT0001617,Sample Pharma 0113,2024-06,Priority,7,55.682,501.19
OUT0001618,Sample Pharma 0113,2024-07,Standard,12,95.31,781.35
OUT0001619,Sample Pharma 0113,2024-10,Priority,5,71.049,510.05
OUT0001620,Sample Pharma 0113,2024-12,Standard,10,115.008,818.09
OUT0001621,Sample Pharma 0113,2025-01,Standard,13,144.252,1363.25
OUT0001622,Sample Pharma 0113,2025-04,Standard,8,82.141,580.8
OUT0001623,Sample Pharma 0113,2025-06,Standard,20,291.411,2519.8
OUT0001624,Sample E-commerce 0114,2024-01,Standard,12,153.64,574.57
OUT0001625,Sample E-commerce 0114,2024-02,Standard,11,127.883,456.17
OUT0001626,Sample E-commerce 0114,2024-03,Standard,11,157.94,1124.27
OUT0001627,Sample E-commerce 0114,2024-05,Priority,21,269.544,2016.38
OUT0001628,Sample E-commerce 0114,2024-08,Standard,26,348.689,3160.46
OUT0001629,Sample E-commerce 0114,2024-09,Standard,42,497.03,4472.38
OUT0001630,Sample E-commerce 0114,2024-10,Standard,15,182.018,1628.93
OUT0001631,Sample E-commerce 0114,2024-11,Cold Chain,13,101.984,910.37
OUT0001632,Sample E-commerce 0114,2024-12,Standard,25,262.707,1786.55
OUT0001633,Sample E-commerce 0114,2025-01,Standard,20,195.437,1826.97
OUT0001634,Sample E-commerce 0114,2025-03,Standard,29,412.419,3491.08
OUT0001635,Sample E-commerce 0114,2025-04,Cold Chain,13,163.283,824.72
OUT0001636,Sample Retail 0115,2024-01,Standard,11,109.746,448.62
OUT0001637,Sample Retail 0115,2024-02,Standard,17,178.256,903.91
OUT0001638,Sample Retail 0115,2024-03,Standard,11,168.092,748.82
OUT0001639,Sample Retail 0115,2024-04,Standard,14,101.901,906.13
OUT0001640,Sample Retail 0115,2024-05,Standard,4,52.824,359.58
OUT0001641,Sample Retail 0115,2024-06,Standard,10,109.861,408.45
OUT0001642,Sample Retail 0115,2024-07,Standard,11,102.968,704.33
OUT0001643,Sample Retail 0115,2024-08,Cold Chain,11,128.561,1253.51
OUT0001644,Sample Retail 0115,2024-10,Standard,7,58.341,491.52
OUT0001645,Sample Retail 0115,2024-11,Standard,8,64.537,239.92
OUT0001646,Sample Retail 0115,2024-12,Standard,13,122.511,1099.39
OUT0001647,Sample Retail 0115,2025-01,Cold Chain,10,126.347,1091.55
OUT0001648,Sample Retail 0115,2025-02,Standard,6,53.909,423.04
OUT0001649,Sample Retail 0115,2025-03,Standard,6,90.711,464.25
OUT0001650,Sample Retail 0115,2025-04,Standard,10,137.478,715.29
OUT0001651,Sample Retail 0115,2025-05,Standard,15,204.687,1968.56
OUT0001652,Sample Retail 0115,2025-06,Standard,10,73.842,516.81
OUT0001653,Sample Manufacturing 0116,2024-01,Standard,15,118.915,435.51
OUT0001654,Sample Manufacturing 0116,2024-03,Standard,5,45.823,242.55
OUT0001655,Sample Manufacturing 0116,2024-05,Standard,6,84.328,809.09
OUT0001656,Sample Manufacturing 0116,2024-06,Standard,6,42.698,231.03
OUT0001657,Sample Manufacturing 0116,2024-07,Standard,13,120.838,1066.86
OUT0001658,Sample Manufacturing 0116,2024-08,Cold Chain,9,82.569,627.34
OUT0001659,Sample Manufacturing 0116,2024-09,Standard,12,125.224,617.89
OUT0001660,Sample Manufacturing 0116,2024-10,Standard,8,95.578,862.87
OUT0001661,Sample Manufacturing 0116,2024-12,Standard,14,205.371,1764.06
OUT0001662,Sample Manufacturing 0116,2025-01,Standard,7,85.287,449.44
OUT0001663,Sample Manufacturing 0116,2025-02,Standard,6,60.647,263.65
OUT0001664,Sample Manufacturing 0116,2025-04,Standard,10,78.476,413.04
OUT0001665,Sample Manufacturing 0116,2025-06,Standard,6,68.145,357.72
OUT0001666,Sample Convenience 0117,2024-01,Cold Chain,6,45.977,231.11
OUT0001667,Sample Convenience 0117,2024-02,Standard,8,96.715,446.09
OUT0001668,Sample Convenience 0117,2024-03,Standard,9,121.134,838.72
OUT0001669,Sample Convenience 0117,2024-04,Standard,8,102.352,352.58
OUT0001670,Sample Convenience 0117,2024-05,Cold Chain,10,87.634,592.63
OUT0001671,Sample Convenience 0117,2024-07,Cold Chain,10,113.077,904.18
OUT0001672,Sample Convenience 0117,2024-08,Cold Chain,14,109.297,845.97
OUT0001673,Sample Convenience 0117,2024-09,Standard,12,152.697,973.52
OUT0001674,Sample Convenience 0117,2024-10,Standard,11,170.435,1037.33
OUT0001675,Sample Convenience 0117,2024-11,Standard,13,129.964,1140.85
OUT0001676,Sample Convenience 0117,2024-12,Standard,9,63.627,288.66
OUT0001677,Sample Convenience 0117,2025-01,Priority,13,164.795,801.23
OUT0001678,Sample Convenience 0117,2025-02,Priority,6,51.411,466.15
OUT0001679,Sample Convenience 0117,2025-03,Standard,8,117.196,563.84
OUT0001680,Sample Convenience 0117,2025-04,Standard,10,104.811,543.85
OUT0001681,Sample Convenience 0117,2025-05,Standard,8,86.272,570.51
OUT0001682,Sample Convenience 0117,2025-06,Standard,16,197.777,714.79
OUT0001683,Sample E-commerce 0118,2024-01,Standard,17,139.049,1286.41
OUT0001684,Sample E-commerce 0118,2024-03,Priority,28,321.039,2265.4
OUT0001685,Sample E-commerce 0118,2024-04,Priority,16,222.517,1759.18
OUT0001686,Sample E-commerce 0118,2024-05,Priority,18,186.684,1577.18
OUT0001687,Sample E-commerce 0118,2024-06,Standard,13,196.568,1406.4
OUT0001688,Sample E-commerce 0118,2024-07,Standard,22,158.711,1200.12
OUT0001689,Sample E-commerce 0118,2024-08,Standard,34,387.251,1306.39
OUT0001690,Sample E-commerce 0118,2024-09,Priority,10,133.143,1019.57
OUT0001691,Sample E-commerce 0118,2024-10,Standard,18,210.475,728.65
OUT0001692,Sample E-commerce 0118,2024-11,Standard,12,157.203,687.41
OUT0001693,Sample E-commerce 0118,2024-12,Standard,25,177.609,1322.17
OUT0001694,Sample E-commerce 0118,2025-01,Standard,24,329.75,3058.17
OUT0001695,Sample E-commerce 0118,2025-02,Standard,16,132.475,630.83
OUT0001696,Sample E-commerce 0118,2025-04,Standard,18,204.538,979.16
OUT0001697,Sample E-commerce 0118,2025-05,Standard,10,154.105,1504.71
OUT0001698,Sample E-commerce 0118,2025-06,Priority,13,200.446,1206.39
OUT0001699,Sample FoodService 0119,2024-02,Standard,12,127.284,961.99
OUT0001700,Sample FoodService 0119,2024-03,Standard,24,291.914,1311.73
OUT0001701,Sample FoodService 0119,2024-04,Standard,6,55.249,404.85
OUT0001702,Sample FoodService 0119,2024-05,Standard,12,132.285,507.39
OUT0001703,Sample FoodService 0119,2024-07,Priority,8,122.017,497.16
OUT0001704,Sample FoodService 0119,2024-10,Standard,13,183.195,983.22
OUT0001705,Sample FoodService 0119,2024-11,Standard,11,167.699,1447.44
OUT0001706,Sample FoodService 0119,2024-12,Cold Chain,25,274.846,1286.0
OUT0001707,Sample FoodService 0119,2025-01,Cold Chain,10,152.127,692.92
OUT0001708,Sample FoodService 0119,2025-02,Standard,8,95.221,500.09
OUT0001709,Sample FoodService 0119,2025-04,Standard,10,139.069,791.48
OUT0001710,Sample FoodService 0119,2025-05,Standard,9,63.521,226.27
OUT0001711,Sample E-commerce 0120,2024-02,Cold Chain,8,123.962,481.03
OUT0001712,Sample E-commerce 0120,2024-03,Standard,5,73.006,447.4
OUT0001713,Sample E-commerce 0120,2024-04,Standard,5,74.391,457.73
OUT0001714,Sample E-commerce 0120,2024-05,Standard,7,70.634,363.51
OUT0001715,Sample E-commerce 0120,2024-06,Standard,6,87.514,813.02
OUT0001716,Sample E-commerce 0120,2024-07,Standard,4,60.963,480.79
OUT0001717,Sample E-commerce 0120,2024-08,Cold Chain,6,81.642,292.98
OUT0001718,Sample E-commerce 0120,2024-09,Standard,4,46.042,236.25
OUT0001719,Sample E-commerce 0120,2024-10,Standard,4,54.655,431.3
OUT0001720,Sample E-commerce 0120,2024-11,Cold Chain,7,98.676,368.87
OUT0001721,Sample E-commerce 0120,2024-12,Cold Chain,5,72.826,282.08
OUT0001722,Sample E-commerce 0120,2025-01,Standard,7,82.137,350.24
OUT0001723,Sample E-commerce 0120,2025-02,Standard,7,99.361,810.06
OUT0001724,Sample E-commerce 0120,2025-03,Cold Chain,4,57.403,288.96
OUT0001725,Sample E-commerce 0120,2025-05,Standard,8,93.983,484.19
OUT0001726,Sample E-commerce 0120,2025-06,Standard,6,71.352,611.89
OUT0001727,Sample Pharma 0121,2024-01,Standard,7,67.682,559.83
OUT0001728,Sample Pharma 0121,2024-02,Standard,7,91.362,312.25
OUT0001729,Sample Pharma 0121,2024-05,Standard,5,61.459,595.42
OUT0001730,Sample Pharma 0121,2024-06,Standard,6,79.283,290.88
OUT0001731,Sample Pharma 0121,2024-08,Cold Chain,12,156.271,852.38
OUT0001732,Sample Pharma 0121,2024-09,Standard,13,111.725,950.82
OUT0001733,Sample Pharma 0121,2024-11,Cold Chain,8,83.334,505.05
OUT0001734,Sample Pharma 0121,2024-12,Standard,10,108.332,362.54
OUT0001735,Sample Pharma 0121,2025-01,Standard,7,85.554,714.5
OUT0001736,Sample Pharma 0121,2025-02,Standard,10,148.396,1385.17
OUT0001737,Sample Pharma 0121,2025-03,Cold Chain,8,62.852,355.57
OUT0001738,Sample Pharma 0121,2025-04,Standard,4,46.357,296.39
OUT0001739,Sample Pharma 0121,2025-05,Standard,5,57.481,247.86
OUT0001740,Sample Pharma 0121,2025-06,Standard,5,50.735,295.72
OUT0001741,Sample Pharma 0122,2024-01,Standard,6,69.181,249.95
OUT0001742,Sample Pharma 0122,2024-02,Standard,5,41.469,142.67
OUT0001743,Sample Pharma 0122,2024-03,Standard,4,39.836,297.89
OUT0001744,Sample Pharma 0122,2024-04,Standard,4,54.719,245.42
OUT0001745,Sample Pharma 0122,2024-05,Standard,3,35.439,346.95
OUT0001746,Sample Pharma 0122,2024-06,Priority,3,29.194,94.67
OUT0001747,Sample Pharma 0122,2024-07,Standard,7,70.538,511.83
OUT0001748,Sample Pharma 0122,2024-08,Standard,7,84.688,738.27
OUT0001749,Sample Pharma 0122,2024-09,Standard,3,26.68,204.57
OUT0001750,Sample Pharma 0122,2024-10,Standard,4,50.515,433.89
OUT0001751,Sample Pharma 0122,2024-11,Standard,2,27.999,224.36
OUT0001752,Sample Pharma 0122,2024-12,Standard,5,60.085,362.3
OUT0001753,Sample Pharma 0122,2025-01,Standard,4,29.448,284.38
OUT0001754,Sample Pharma 0122,2025-02,Priority,4,36.769,275.45
OUT0001755,Sample Pharma 0122,2025-03,Priority,5,55.654,415.72
OUT0001756,Sample Pharma 0122,2025-04,Cold Chain,5,39.747,387.78
OUT0001757,Sample Pharma 0122,2025-06,Standard,3,32.588,115.85
OUT0001758,Sample Pharma 0123,2024-01,Cold Chain,7,106.943,758.41
OUT0001759,Sample Pharma 0123,2024-02,Standard,9,113.981,782.89
OUT0001760,Sample Pharma 0123,2024-04,Standard,14,209.263,1937.81
OUT0001761,Sample Pharma 0123,2024-05,Standard,14,102.909,790.4
OUT0001762,Sample Pharma 0123,2024-06,Standard,10,111.266,593.52
OUT0001763,Sample Pharma 0123,2024-07,Standard,9,91.524,827.61
OUT0001764,Sample Pharma 0123,2024-08,Standard,19,184.374,1741.98
OUT0001765,Sample Pharma 0123,2024-09,Standard,19,190.299,1701.07
OUT0001766,Sample Pharma 0123,2024-10,Cold Chain,11,161.689,757.71
OUT0001767,Sample Pharma 0123,2024-11,Standard,8,77.276,504.66
OUT0001768,Sample Pharma 0123,2024-12,Standard,8,89.344,363.64
OUT0001769,Sample Pharma 0123,2025-01,Priority,15,114.77,722.64
OUT0001770,Sample Pharma 0123,2025-02,Standard,12,150.385,878.92
OUT0001771,Sample Pharma 0123,2025-03,Standard,18,225.893,2033.52
OUT0001772,Sample Pharma 0123,2025-04,Standard,7,75.633,623.32
OUT0001773,Sample Pharma 0123,2025-05,Standard,21,265.429,1090.07
OUT0001774,Sample Pharma 0123,2025-06,Standard,11,99.29,440.95
OUT0001775,Sample E-commerce 0124,2024-01,Standard,63,930.993,5602.48
OUT0001776,Sample E-commerce 0124,2024-02,Standard,17,214.168,1144.92
OUT0001777,Sample E-commerce 0124,2024-03,Standard,28,392.751,1322.92
OUT0001778,Sample E-commerce 0124,2024-04,Standard,34,280.895,2172.5
OUT0001779,Sample E-commerce 0124,2024-05,Standard,18,185.9,622.36
OUT0001780,Sample E-commerce 0124,2024-06,Standard,14,206.924,1287.49
OUT0001781,Sample E-commerce 0124,2024-07,Standard,30,418.235,3170.02
OUT0001782,Sample E-commerce 0124,2024-08,Standard,41,561.566,1913.64
OUT0001783,Sample E-commerce 0124,2024-09,Standard,40,326.246,2279.41
OUT0001784,Sample E-commerce 0124,2024-10,Standard,21,212.032,2021.97
OUT0001785,Sample E-commerce 0124,2024-11,Standard,22,202.009,991.32
OUT0001786,Sample E-commerce 0124,2024-12,Standard,32,409.908,1880.42
OUT0001787,Sample E-commerce 0124,2025-02,Standard,17,234.982,1771.98
OUT0001788,Sample E-commerce 0124,2025-03,Priority,18,139.57,549.7
OUT0001789,Sample E-commerce 0124,2025-04,Standard,37,461.284,2103.19
OUT0001790,Sample E-commerce 0124,2025-05,Standard,27,299.216,1836.83
OUT0001791,Sample E-commerce 0124,2025-06,Standard,48,678.471,2643.35
OUT0001792,Sample FoodService 0125,2024-01,Standard,8,80.739,412.71
OUT0001793,Sample FoodService 0125,2024-03,Standard,6,79.982,491.94
OUT0001794,Sample FoodService 0125,2024-04,Standard,7,103.525,788.94
OUT0001795,Sample FoodService 0125,2024-06,Priority,9,86.497,708.07
OUT0001796,Sample FoodService 0125,2024-08,Standard,7,77.561,701.96
OUT0001797,Sample FoodService 0125,2024-09,Standard,4,53.235,355.25
OUT0001798,Sample FoodService 0125,2024-10,Standard,4,34.618,145.06
OUT0001799,Sample FoodService 0125,2024-11,Standard,6,55.635,225.48
OUT0001800,Sample FoodService 0125,2024-12,Standard,17,258.143,1797.3
OUT0001801,Sample FoodService 0125,2025-02,Standard,5,57.689,530.78
OUT0001802,Sample FoodService 0125,2025-03,Standard,7,67.935,312.3
OUT0001803,Sample E-commerce 0126,2024-01,Standard,19,140.981,855.39
OUT0001804,Sample E-commerce 0126,2024-03,Standard,25,323.814,2553.79
OUT0001805,Sample E-commerce 0126,2024-05,Standard,79,933.361,8532.6
OUT0001806,Sample E-commerce 0126,2024-06,Standard,28,304.197,1685.99
OUT0001807,Sample E-commerce 0126,2024-07,Standard,26,250.772,2131.35
OUT0001808,Sample E-commerce 0126,2024-09,Standard,39,531.668,3455.27
OUT0001809,Sample E-commerce 0126,2024-10,Cold Chain,32,341.348,2779.28
OUT0001810,Sample E-commerce 0126,2024-11,Priority,40,545.741,1828.71
OUT0001811,Sample E-commerce 0126,2024-12,Cold Chain,26,218.413,1858.21
OUT0001812,Sample E-commerce 0126,2025-02,Cold Chain,18,240.283,1125.94
OUT0001813,Sample E-commerce 0126,2025-03,Standard,25,375.078,1479.89
OUT0001814,Sample E-commerce 0126,2025-04,Standard,60,482.83,2690.49
OUT0001815,Sample E-commerce 0126,2025-05,Standard,35,363.196,2761.34
